data_format,postcode,year_completed,clue_small_area,clue_block,street_address,property_id,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,intitutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,Location 1
Post May 16,3000,2018.0,Melbourne (CBD),95,Deakin House 393-397 Swanston Street MELBOURNE VIC 3000,109313,43.0,0,0,0,0,0,753,763,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,TP-2014-934,"(-37.80927795, 144.9632462)"
Post May 16,3006,2018.0,Southbank,748,33 Coventry Street SOUTHBANK VIC 3006,110455,21.0,72,0,53,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,TP-2014-1037,"(-37.82940306, 144.9696443)"
Post May 16,3002,2018.0,East Melbourne,615,126-158 Clarendon Street EAST MELBOURNE VIC 3002,102007,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,TP-2014-491,"(-37.812282, 144.9841024)"
Post May 16,3052,2015.0,Parkville,931,Royal Childrens Hospital 48-50 Flemington Road PARKVILLE VIC 3052,103908,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,TPM-2015-23,"(-37.79361764, 144.9495408)"
Post May 16,3000,2018.0,North Melbourne,362,529-533 Elizabeth Street MELBOURNE VIC 3000,103236,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7314,114,0,0,2491,0,0,0,0,66,50,TP-2014-274,"(-37.80566944, 144.9586111)"
Post May 16,3051,2018.0,North Melbourne,317,112 Haines Street NORTH MELBOURNE VIC 3051,110645,13.0,143,0,60,80,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,124,TP-2014-955,"(-37.7982701, 144.9434743)"
Post May 16,3008,2018.0,Docklands,1109,Newquay Central 425-441 Docklands Drive DOCKLANDS VIC 3008,593728,18.0,118,0,26,68,24,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,0,0,0,63,42,TP-2014-1024/A,"(-37.81503861, 144.9392069)"
Post May 16,3051,2018.0,North Melbourne,336,241-247 Dryburgh Street NORTH MELBOURNE VIC 3051,102826,5.0,44,5,32,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TP-2014-1054,"(-37.80068572, 144.943494)"
Post May 16,3008,2018.0,Docklands,1105,43 Village Street DOCKLANDS VIC 3008,646789,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,179,0,0,0,0,0,0,0,20,0,TP-2012-787/C,"(-37.82027313, 144.9499937)"
Post May 16,3006,2018.0,Southbank,747,68-70 Dorcas Street SOUTHBANK VIC 3006,110436,28.0,238,0,106,120,12,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,193,101,TPM-2014-33,"(-37.83063269, 144.9674665)"
